country,connection country
Vietnam,Taiwan
Wallis & Futuna,Wallis & Futuna
Wallis & Futuna,New Caledonia
Wallis & Futuna,Fiji
Wallis & Futuna,Samoa
Western Sahara,Morocco
Western Sahara,Spain
Western Sahara,France
Yemen,Egypt
Yemen,Jordan
Yemen,Djibouti
Yemen,Saudi Arabia
Yemen,Yemen
Yemen,India
Yemen,Kenya
Zambia,Zambia
Zambia,South Africa
Zambia,Kenya
Zambia,Zimbabwe
Zambia,Malawi
Zambia,Democratic Republic of the Congo
Zimbabwe,South Africa
Zimbabwe,Zimbabwe
Zimbabwe,Ethiopia
Zimbabwe,Zambia
Zimbabwe,Botswana
